dim,shape,nnz,cpu_tmm_avg_ms,gpu_tmm_avg_ms,gpu_upload_avg_ms,gpu_kernel_avg_ms,gpu_download_avg_ms,core_cpu_ms,core_gpu_upload_ms,core_gpu_kernel_ms,core_gpu_download_ms,core_wall_ms
7,"10x10x10x10x10x10x10",5000,3.34961,8.25021,0.58952,0.0260389,6.12684,6923.89,0.940549,6933.6,6.68173,6943.07
7,"10x10x10x10x10x10x10",500000,3.39763,8.36841,0.548478,0.0257463,6.28289,5977.43,1.16531,6931.47,6.62262,6941.15
7,"10x10x10x10x10x10x10",5000000,3.39293,8.22902,0.600536,0.0258926,6.08411,5969.32,1.18291,6931.41,6.53002,6940.93

6,"100x10x10x10x10x10",5000,2.93991,7.10463,0.574711,0.024064,5.19148,404.068,0.572907,711.258,1.13875,713.518
6,"100x10x10x10x10x10",500000,3.05159,7.30324,0.626445,0.0247467,5.33416,332.432,0.582044,712.505,1.17939,714.802
6,"100x10x10x10x10x10",5000000,2.97562,7.2319,0.487321,0.0244053,5.38227,475.479,0.775548,724.904,1.20358,727.443

5,"1000x10x10x10x10",5000,2.77042,6.78114,0.530684,0.0227328,4.96557,41.1411,0.4408,61.4124,0.065024,62.1351
5,"1000x10x10x10x10",500000,2.74438,6.82594,0.543983,0.0233472,5.01871,45.4372,0.442071,61.0304,0.06224,61.7638
5,"1000x10x10x10x10",5000000,2.73946,6.89276,0.51661,0.0231424,5.11748,37.151,0.444325,60.6484,0.075936,61.3966

4,"10000x10x10x10",5000,2.68812,6.2815,0.604244,0.029184,4.46795,110.492,0.480814,7.49568,0.021728,8.21084
4,"10000x10x10x10",500000,2.70385,6.36585,0.554597,0.02688,4.58137,114.629,0.486645,7.5049,0.023552,8.24394
4,"10000x10x10x10",5000000,2.68933,6.22682,0.54494,0.027648,4.44926,110.246,0.451028,7.50797,0.023072,8.21824

3,"100000x10x10",5000,2.55279,6.47132,0.940044,0.0382293,4.2227,28.1816,0.929037,2.75763,0.017728,4.08149
3,"100000x10x10",500000,4.46967,6.4152,1.04586,0.139264,3.97182,291.565,1.02475,16.5796,0.01792,18.0576
3,"100000x10x10",5000000,4.46237,6.29548,1.04498,0.137557,3.84828,286.845,1.01967,15.9887,0.017984,17.4527
